NAZIV PROIZVODA,ŠIFRA PROIZVODA,MARKA PROIZVODA,NETO KOLIČINA,JEDINICA MJERE,MALOPRODAJNA CIJENA,CIJENA ZA JEDINICU MJERE,MPC ZA VRIJEME POSEBNOG OBLIKA PRODAJE,NAJNIŽA CIJENA U POSLJEDNIH 30 DANA,SIDRENA CIJENA NA 2.5.2025,BARKOD,KATEGORIJA PROIZVODA
LEDENI ČAJ BRESKVA 1.5L FUZETEA,90311883,FUZETEA,1.50 l,ko,2.25,1.5,,,2.19,5449000239280,PIĆE
TIJESTO K PLUS LUMACONI RIGATI PREM 500g,90312372,K PLUS,0.50 kg,ko,1.65,3.3,,,1.65,3850334352484,HRANA
KUKURUZNA RUSTIKA SA KRUŠNE PEĆI 400g,90312404,PEKARA BABIĆ,0.40 kg,ko,2.19,5.48,,,1.99,3858884711751,HRANA
GAZ PIĆE COCA COLA ZERO LIMUN 0.5L,90312920,COCA COLA,0.50 l,ko,1.49,2.98,,,1.45,5449000247964,PIĆE
VODA FUNKC JANA VIT NARANČA 1.5L,90312936,JANA,1.50 l,ko,2.25,1.5,,,1.69,3858890874044,PIĆE
VODA FUNKC JANA VIT NARANČA 0.5L,90312943,JANA,0.50 l,ko,1.49,2.98,,,1.49,3858890874013,PIĆE
PEL KUPANJE PAMPERS 3 6-11kg 12/1,90316310,PAMPERS,12.00 ko,ko,10.59,0.88,,,10.59,8001090698346,TOALETNE POTREPŠTINE
NAREZAK POLI CLASSIC 150g PERUTNINA,90316866,POLI,0.15 kg,ko,2.49,16.6,,,2.49,3838977012897,HRANA
KULEN 80g NAR PODRAVKA,90316888,PODRAVKA,0.08 kg,ko,2.75,34.38,,,2.59,3856020213244,HRANA
ČAJNA 80g NAR PODRAVKA,90316894,PODRAVKA,0.08 kg,ko,2.75,34.38,,,1.95,3856020213121,HRANA
KRUH BIJELI BEZ GL 250g SCHAR,90317229,DR SCHAR,0.25 kg,ko,3.09,12.36,,,2.89,8008698024065,HRANA
SV MARINIRANA REBRA PIKANT RAWSTILJ,90317230,RAW ŠTILJ,1.00 kg,kg,9.09,9.09,,,9.69,3850139442182,HRANA
KAVA JUBIL SENS VAK MLJ 250g FRANCK,90317314,JUBILARNA,0.25 kg,ko,6.69,26.76,,,6.69,3858881088658,HRANA
KAVA JUBIL INTEN VAK MLJ 250g FRANCK,90317326,JUBILARNA,0.25 kg,ko,6.69,26.76,,,6.69,3858881088641,HRANA
VODA SMART WATER 0.6L PET,90319366,SMART,0.60 l,ko,1.55,2.58,,,1.55,5449000034335,PIĆE
KOBASICA DOMAĆA DIMLJENA 300g VAK PIK,90319514,PIK,0.30 kg,ko,5.59,18.63,,,5.59,3850139173512,HRANA
ULJE U SPREJU NIVEA SUN S KAROTENOM 200ml,90319639,NIVEA,0.20 l,ko,16.79,83.95,,,16.79,4005900478566,KOZMETIKA
WHISKEY JIM BEAM  & Cola 0.33 L,90319735,JIM BEAM,0.33 l,ko,3.39,10.27,,,3.39,5060045581280,PIĆE
NAMAZ LINO LADA GOLD 350g PODRAVKA,90319741,LINO LADA,0.35 kg,ko,4.99,14.26,,,4.99,3856020213572,HRANA
PRŠUT RUŽA NAR 500g MAP PISINIUM,90319748,PISINIUM,0.50 kg,ko,20.99,41.98,,,20.49,3858884936444,HRANA
ZIMSKA 80g NAR PODRAVKA,90319775,PODRAVKA,0.08 kg,ko,2.75,34.38,,,2.59,3856020213183,HRANA
ČIPS S TARTUFIMA 50g ZIGANTE,90320102,ZIGANTE,0.05 kg,ko,3.99,79.8,,,3.99,3858891980256,HRANA
PILEĆI FILE NA ŠTAPIĆU 400g,90320267,PIKNIK,0.40 kg,ko,6.49,16.23,,,6.49,3838977024012,HRANA
GIN GORDONS PINK 0.7L,90320401,GORDON'S,0.70 l,ko,26.99,38.56,,,26.99,5000289929417,PIĆE
KRUH SKANDINAVSKI 700g MLINAR,90320585,MLINAR,0.70 kg,ko,3.69,5.27,,,3.69,3858881122512,HRANA
LINZER VIŠNJA 500g K PLUS,90320621,K PLUS,0.50 kg,ko,4.99,9.98,,,4.99,3850334325860,HRANA
