Naziv proizvoda;Šifra proizvoda;Marka proizvoda;Neto kolièina;Jedinica mjere;Maloprodajna cijena;Cijena za jedinicu mjere;Barkod;Kategorija;Najniža cijena u posljednjih 30 dana;MPC za vrijeme posebnog oblika prodaje
HENNESSY V.S 0,7L                       ;655782    ;VALENTIÆ d.o.o;        0.70;L  ;       40.02;       57.17;'3245990043317';PIÆA;        0.00;        0.00
KORLAT TERANINO 0,7                     ;656219    ;KORLAT         ;        0.70;L  ;       24.02;       34.31;'3850112112934';PIÆA;        0.00;        0.00
PELIN TONIC LIMENKA 0,33L               ;656374    ;AWTINTERNATIONAL D.O.O. ZAGREB;        0.33;L  ;        1.79;        5.42;'3850158510305';PIÆA;        0.00;        0.00
SIERRA TEQUILA BLANCO 0,7L              ;656395    ;FIBIS D.O.O.;        0.70;L  ;       18.99;       27.13;'4062400181204';PIÆA;        0.00;        0.00
REPUBLICA MOJITO RTD 0,25L**            ;657148    ;FIBIS D.O.O.;        0.25;L  ;        1.99;        7.96;'8594005025936';PIÆA;        0.00;        0.00
GIN&TONIC MILLHILS JAGODA RTD**         ;657152    ;FIBIS D.O.O.;        0.25;L  ;        1.99;        7.96;'8594005026155';PIÆA;        0.00;        0.00
BADEL COFFEE CREAM LIKER 0,7L           ;663048    ;BADEL 1862 d.d.;        0.70;L  ;       19.99;       28.56;'3850112112514';PIÆA;        0.00;        0.00
ORAHOVAC S ÈOKOLADOM 0,7L+2 ÈAŠE        ;664260    ;MARASKA        ;        0.70;L  ;       17.99;       25.70;'3850158406172';PIÆA;        0.00;        0.00
LIKER PARTY CHOCOLATE 0,5L              ;664701    ;FIBIS D.O.O.;        0.50;L  ;        6.99;       13.98;'8586019223880';PIÆA;        0.00;        0.00
LIKER ORAH 25% 0.70L                    ;689639    ;ALCA ZAGREB D.O.O.;        0.70;L  ;        9.32;       13.31;'3858894170586';PIÆA;        0.00;        0.00
LIKER BOROVNICA 21% 0.7L                ;690195    ;ALCA ZAGREB D.O.O.;        0.70;L  ;        9.98;       14.26;'3858894170821';PIÆA;        0.00;        0.00
KRUŠKOVAC 1L                            ;690509    ;ALCA ZAGREB D.O.O.;        1.00;L  ;        9.32;        9.32;'3858894170883';PIÆA;        0.00;        0.00
STRAVA-TRAVARICA 1/1                    ;690929    ;DOMESTIC SPIRITS D.O.O.;        1.00;L  ;       11.02;       11.02;'3859889132992';PIÆA;        0.00;        0.00
DOMAÆI BRENDI 1L                        ;699588    ;ALCA ZAGREB D.O.O.;        1.00;L  ;        0.00;        8.99;'3858894171262';PIÆA;       10.65;        8.99
LIKER VIŠNJA 0,7L 21%                   ;699895    ;ALCA ZAGREB D.O.O.;        0.70;L  ;        9.98;       14.26;'3858894171569';PIÆA;        0.00;        0.00
VODKA BLACKY ŠUM.VOÆE 0,7L              ;85057     ;BLACKY         ;        0.70;L  ;        7.82;       11.17;'4000152004570';PIÆA;        0.00;        0.00
STOCK 84 1/1                            ;94983     ;FIBIS D.O.O.;        1.00;L  ;       17.02;       17.02;'8000440396383';PIÆA;        0.00;        0.00
VILJAMOVKA 0.7 STUDIO G3                ;95669     ;WILLIAMS RONER ;        0.70;L  ;       27.89;       39.84;'8002345007203';PIÆA;        0.00;        0.00
STOCK 84 0.7L LIMENKA                   ;97425     ;FIBIS D.O.O.;        0.70;L  ;       14.02;       20.03;'8000440217220';PIÆA;        0.00;        0.00
VINDI ISO SPORT LIM/GR 1/5              ;02623     ;VINDI          ;        0.20;L  ;        0.61;        3.05;'3850108078428';PIÆA;        0.00;        0.00
HIDRA ISO 0,5L                          ;556609    ;HIDRA          ;        0.50;L  ;        1.33;        2.66;'3850131005088';PIÆA;        0.00;        0.00
VINDI ISO SPORT LIMUN GREJP 1L          ;578582    ;VINDI          ;        1.00;L  ;        1.49;        1.49;'3850108078466';PIÆA;        0.00;        0.00
HIDRA UP 0,5L                           ;605609    ;HIDRA          ;        0.50;L  ;        1.33;        2.66;'3850131005620';PIÆA;        0.00;        0.00
GATORADE COOL BLUE MALINA 0,5L          ;611101    ;GATORADE       ;        0.50;L  ;        1.62;        3.24;'8001160001113';PIÆA;        0.00;        0.00
POWERADE MONTAINBLAST ZERO 0,5L         ;653167    ;POWERADE       ;        0.50;L  ;        1.62;        3.24;'5449000158987';PIÆA;        0.00;        0.00
TWIST ISO LIMUN 0,5L RGB                ;653506    ;CARLSBERG CROATIA D.O.O.;        0.50;L  ;        1.19;        2.38;'3858887585793';PIÆA;        0.00;        0.00
TWIST ISO NAR 0,5L RGB                  ;655765    ;CARLSBERG CROATIA D.O.O.;        0.50;L  ;        1.19;        2.38;'3858887585779';PIÆA;        0.00;        0.00
HIDRA ISO 4X0,5L                        ;658823    ;ZAGREBAÈKA PIVOVARA D.O.O.;        2.00;L  ;        4.59;        2.30;'3850131006283';PIÆA;        0.00;        0.00
HIDRA UP 4X0,5L                         ;658824    ;ZAGREBAÈKA PIVOVARA D.O.O.;        2.00;L  ;        4.59;        2.30;'3850131006313';PIÆA;        0.00;        0.00
TRAMINAC 0,75 KUTJEVO                   ;01077     ;KUTJEVO DD;        0.75;L  ;       10.02;       13.36;'3850156001041';PIÆA;        0.00;        0.00
ÐAKOVAÈKI RIZLING 1/1                   ;02220     ;KUTJEVO DD;        1.00;L  ;        6.02;        6.02;'3859888932227';PIÆA;        0.00;        0.00
VINO GRAŠEVINA KVAL.ÐAKOVO 0,75         ;05285     ;KUTJEVO DD;        0.75;L  ;        7.02;        9.36;'3859888932258';PIÆA;        0.00;        0.00
PJENUŠAC FREIXENET NEGRO 0.75L          ;107377    ;FREIXENET      ;        0.75;L  ;       11.99;       15.99;'8410036009090';PIÆA;        0.00;        0.00
PJENUŠAC FREIXENET NEVADA 0.75L         ;108781    ;FREIXENET      ;        0.75;L  ;        9.99;       13.32;'8410036002015';PIÆA;        0.00;        0.00
VINO GRAŠEVINA KV. 1L IL                ;142020    ;ILOÈKI PODRUMI ;        1.00;L  ;        6.55;        6.55;'3859889556460';PIÆA;        0.00;        0.00
VINO GRAŠEVINA KV.0,75L IL              ;150201    ;ILOÈKI PODRUMI ;        0.75;L  ;        6.99;        9.32;'3859889556453';PIÆA;        0.00;        0.00
GRAŠEVINA 1L BELJE                      ;196281    ;VINA BELJE     ;        1.00;L  ;        6.55;        6.55;'3850257019440';PIÆA;        0.00;        0.00
VINO CRNO ŽDREPÈEVA KRV 1L ÈOKA         ;221354    ;VRUTAK D.O.O.;        1.00;L  ;        4.25;        4.25;'8600102938076';PIÆA;        0.00;        0.00
VINO GRAŠEVINA KUTJEVO 0,75L            ;223321    ;KUTJEVO DD;        0.75;L  ;        0.00;        8.65;'3850156001133';PIÆA;        6.40;        6.49
SILVANAC ZELENI 0.75 ORAHOVICA          ;24800     ;ORAHOVICA      ;        0.75;L  ;        0.00;       12.65;'3859888114050';PIÆA;       12.15;        9.49
FRANKOVKA 1/1 ORAHOVICA                 ;24801     ;ORAHOVICA      ;        1.00;L  ;        5.59;        5.59;'3859888114012';PIÆA;        0.00;        0.00
FRANKOVKA 0.75L ORAHOVICA               ;24802     ;ORAHOVICA      ;        0.75;L  ;        7.79;       10.39;'3859888114029';PIÆA;        0.00;        0.00
GRAŠEVINA 1/1 ORAHOVICA                 ;24804     ;ORAHOVICA      ;        1.00;L  ;        5.99;        5.99;'3859888114036';PIÆA;        0.00;        0.00
RIZLING RAJNSKI 0.75 ORAHOVICA          ;24806     ;ORAHOVICA      ;        0.75;L  ;        7.79;       10.39;'3859888114074';PIÆA;        0.00;        0.00
SAUVIGNON 0.75 ORAHOVICA                ;24807     ;ORAHOVICA      ;        0.75;L  ;        7.79;       10.39;'3859888114104';PIÆA;        0.00;        0.00
CHARDONNAY 0.75 ORAHOVICA               ;24808     ;ORAHOVICA      ;        0.75;L  ;        7.79;       10.39;'3859888114098';PIÆA;        0.00;        0.00
ÐAKOVAÈKA GRAŠEVINA 1/1                 ;25545     ;KUTJEVO DD;        1.00;L  ;        6.02;        6.02;'3859888932234';PIÆA;        0.00;        0.00
TRAMINAC ILOÈKI PODRUMI 0,75L           ;266171    ;ILOÈKI PODRUMI ;        0.75;L  ;        7.99;       10.65;'3859889556538';PIÆA;        0.00;        0.00
GRAŠEVINA BELJE 0,75L KVALITETNA        ;279080    ;VINA BELJE     ;        0.75;L  ;        6.49;        8.65;'3850257019020';PIÆA;        0.00;        0.00
SREBRNA RADG.PENINA-POLUSUHA 0,75       ;302191    ;STUDENAC D.O.O.;        0.75;L  ;        9.02;       12.03;'3830000341110';PIÆA;        0.00;        0.00
ZLATA RADG.PENINA SUHA 0,75             ;302192    ;STUDENAC D.O.O.;        0.75;L  ;       15.02;       20.03;'3830000341011';PIÆA;        0.00;        0.00
MERLOT BELJE 1L                         ;325984    ;VINA BELJE     ;        1.00;L  ;        7.05;        7.05;'3850257020309';PIÆA;        0.00;        0.00
VINO CUVEE BENKOVAC 0,75L               ;353923    ;BADEL 1862 d.d.;        0.75;L  ;        7.02;        9.36;'3850112170675';PIÆA;        0.00;        0.00
PELJEŠAC 1L BADEL                       ;358516    ;BADEL 1862 d.d.;        1.00;L  ;        5.52;        5.52;'3850112170637';PIÆA;        0.00;        0.00
GRAŠEVINA 1/1 FERAVINO                  ;35921     ;FERAVINO       ;        1.00;L  ;        5.95;        5.95;'3859888852044';PIÆA;        0.00;        0.00
FRANKOVKA 1/1 FERAVINO                  ;35922     ;FERAVINO       ;        1.00;L  ;        5.95;        5.95;'3859888852051';PIÆA;        0.00;        0.00
POKLON PAKET VINA SA ÈAŠAMA 0,75L       ;375002    ;DOMESTIC SPIRITS D.O.O.;        0.75;L  ;        7.33;        9.77;'3859889132053';PIÆA;        0.00;        0.00
KORLAT MERLOT 0,75L                     ;375035    ;BADEL 1862 d.d.;        0.75;L  ;       16.02;       21.36;'3850112170538';PIÆA;        0.00;        0.00
KORLAT SYRAH 0.75L                      ;375036    ;BADEL 1862 d.d.;        0.75;L  ;       16.02;       21.36;'3850112170545';PIÆA;        0.00;        0.00
KORLAT CABERNET SOUVIGNON 0,75L         ;375037    ;BADEL 1862 d.d.;        0.75;L  ;       16.02;       21.36;'3850112170552';PIÆA;        0.00;        0.00
PLAVAC 1L BADEL                         ;375134    ;BADEL 1862 d.d.;        1.00;L  ;        5.52;        5.52;'3850112170613';PIÆA;        0.00;        0.00
FRANKOVKA ROSE 0,75 ORAHOVICA           ;399087    ;ORAHOVICA      ;        0.75;L  ;        7.79;       10.39;'3858889830594';PIÆA;        0.00;        0.00
GRAŠEVINA CLASSIC 0,75L FERAVINO        ;421030    ;FERAVINO       ;        0.75;L  ;        7.19;        9.59;'3859892201357';PIÆA;        0.00;        0.00
FRANKOVKA CLASSIC 0,75L FERAVINO        ;421031    ;AWTINTERNATIONAL D.O.O. ZAGREB;        0.75;L  ;        7.19;        9.59;'3859892201364';PIÆA;        0.00;        0.00
KAPISTRAN CRNI 1L                       ;428570    ;ILOÈKI PODRUMI ;        1.00;L  ;        6.29;        6.29;'3859892149253';PIÆA;        0.00;        0.00
GRAŠEVINA 1L ÈOBANKOVIÆ                 ;434228    ;ÈOBANKOVIÆ IVAN POLJODJELSKI OBRT;        1.00;L  ;        3.93;        3.93;'3859891249015';PIÆA;        0.00;        0.00
SILVANAC ZELENI KVAL.0,75 ORAHOVICA     ;444180    ;ORAHOVICA      ;        0.75;L  ;        7.79;       10.39;'3858889831201';PIÆA;        0.00;        0.00
VINO SAUVIGNON 0,75L ÐAKOVO             ;46575     ;KUTJEVO DD;        0.75;L  ;        7.02;        9.36;'3859888932371';PIÆA;        0.00;        0.00
VINO GRAŠEVINA ERDUT 1L                 ;47887     ;VINA ERDUT     ;        1.00;L  ;        6.49;        6.49;'3859889193566';PIÆA;        0.00;        0.00
GRAŠEVINA 0.75 ORAHOVICA                ;49207     ;ORAHOVICA      ;        0.75;L  ;        7.79;       10.39;'3859888114043';PIÆA;        0.00;        0.00
VINO KVALITETNO PLAVAC 1L PALIHNIÆ      ;501373    ;PELJEŠKI VINOGRADAR DOO;        1.00;L  ;        3.99;        3.99;'3859892911089';PIÆA;        0.00;        0.00
VINO KVALITETNO PLAVAC MALI 0,75L PALIH ;501376    ;PELJEŠKI VINOGRADAR DOO;        0.75;L  ;        4.69;        6.25;'3859892911164';PIÆA;        0.00;        0.00
VINO KVALITETNO PLAVAC 0,75L PALIHNIÆ   ;501378    ;PELJEŠKI VINOGRADAR DOO;        0.75;L  ;        4.39;        5.85;'3859892911171';PIÆA;        0.00;        0.00
LAŠKI RIZLING 1L JERUZALEM ORMOŽ        ;514096    ;JERUZALEM ORMOŽ;        1.00;L  ;        0.00;        4.49;'3830001600025';PIÆA;        6.09;        4.49
VINO MERLOT ALIANTA 0,75L               ;528615    ;ALIANTA        ;        0.75;L  ;        4.99;        6.65;'4840042009380';PIÆA;        0.00;        0.00
PINOT BIJELI CLASSIC 0,75L FERAVINO     ;532290    ;FERAVINO       ;        0.75;L  ;        7.19;        9.59;'3859892201548';PIÆA;        0.00;        0.00
CRNI CUVEE KVALITETNI 0,75L ORAHOVICA   ;556498    ;ORAHOVICA      ;        0.75;L  ;        7.79;       10.39;'3858889831676';PIÆA;        0.00;        0.00
VINO CRVENO TGA ZA JUG 0,75L TIKVEŠ     ;556756    ;TIKVEŠ         ;        0.75;L  ;        5.32;        7.09;'5310008007129';PIÆA;        0.00;        0.00
VINO VRANAC VUPIK 1L                    ;563275    ;VUPIK          ;        1.00;L  ;        3.80;        3.80;'3858882617079';PIÆA;        0.00;        0.00
VINO CABERNET GLAMOUR 0,75L             ;564055    ;MIRNA-VERIS D.O.O.;        0.75;L  ;        4.99;        6.65;'4840526006836';PIÆA;        0.00;        0.00
VINO CHARDONNAY GLAMOUR 0,75L           ;564056    ;MIRNA-VERIS D.O.O.;        0.75;L  ;        4.99;        6.65;'4840526005891';PIÆA;        0.00;        0.00
MUŠKATNA PENINA ORMOŽ 0,75L             ;565219    ;JERUZALEM ORMOŽ;        0.75;L  ;       10.02;       13.36;'3830001601558';PIÆA;        0.00;        0.00
POKLON PAKET VINA 2X0,75L               ;573251    ;DOMESTIC SPIRITS D.O.O.;        1.50;L  ;        8.05;        5.37;'3859889132107';PIÆA;        0.00;        0.00
VINO CABERNET SECRET ARISTOCRATA 0,75L  ;575020    ;SECRET ARISTOCR;        0.75;L  ;        0.00;        6.65;'4840267006881';PIÆA;        5.99;        4.99
VINO SUHO BIJELO 2L HERCEGOVINA VINA    ;578866    ;HERCEGOVINAVINO;        2.00;L  ;        2.99;        1.50;'3870025000685';PIÆA;        0.00;        0.00
PJENUŠAC FREIX.MIA MOSCATO PINK 0,75L   ;588728    ;FREIXENET      ;        0.75;L  ;        8.99;       11.99;'8410384012087';PIÆA;        0.00;        0.00
VINKO VINO BIJELO 3L                    ;591213    ;HERCEGOVINAVINO;        3.00;L  ;        4.49;        1.50;'3870025000241';PIÆA;        0.00;        0.00
PENINA GLAMOUR EDITION 0,75L            ;598267    ;JERUZALEM ORMOŽ;        0.75;L  ;       10.02;       13.36;'3830001602951';PIÆA;        0.00;        0.00
EPSKO VINO VRANAC 3L                    ;600468    ;EPSKO VINO     ;        3.00;L  ;        9.39;        3.13;'3858892520192';PIÆA;        0.00;        0.00
EPSKO VINO VRANAC 2L                    ;600469    ;EPSKO VINO     ;        2.00;L  ;        6.59;        3.30;'3858892520185';PIÆA;        0.00;        0.00
VINO IMAKO VRANAC BLACK LABEL 0,75L     ;600470    ;EPSKO VINO     ;        0.75;L  ;        5.02;        6.69;'5319990807076';PIÆA;        0.00;        0.00
EPSKO VINO VRANAC 1L                    ;600471    ;AWTINTERNATIONAL D.O.O. ZAGREB;        1.00;L  ;        4.72;        4.72;'3858892520178';PIÆA;        0.00;        0.00
VRANAC MAKEDONSKI 3L BIB IMAKO          ;600472    ;EPSKO VINO     ;        3.00;L  ;        9.99;        3.33;'5310140009906';PIÆA;        0.00;        0.00
VINO CABERNET SAUVIGNON 0,75L ÐAKOVO    ;603346    ;KUTJEVO DD;        0.75;L  ;        7.02;        9.36;'3859888932777';PIÆA;        0.00;        0.00
VINO ROSE CLASSIC KV.0,75L FERAVINO     ;606924    ;FERAVINO       ;        0.75;L  ;        7.19;        9.59;'3859893151026';PIÆA;        0.00;        0.00
VINO VRANAC VUPIK KV.3L BIB             ;607199    ;JAMNICA PLUS D.O.O.;        3.00;L  ;        9.99;        3.33;'3858882617109';PIÆA;        0.00;        0.00
VINO IL FRANKOVKA ROSE KV. 0,75L        ;607200    ;ILOÈKI PODRUMI ;        0.75;L  ;        7.55;       10.07;'3859892149239';PIÆA;        0.00;        0.00
VINO TIKVEŠ GRAŠEVINA 1L                ;608212    ;TIKVEŠ         ;        1.00;L  ;        4.22;        4.22;'5310008006245';PIÆA;        0.00;        0.00
VINO TIKVEŠ VRANEC 1L                   ;608213    ;TIKVEŠ         ;        1.00;L  ;        4.22;        4.22;'5310008006184';PIÆA;        0.00;        0.00
KUPINOVO VINO KUPIN 0,75L               ;608369    ;BUBALO BOŽA OPG;        0.75;L  ;        7.33;        9.77;'3857500112200';PIÆA;        0.00;        0.00
VINO VRANAC KV 0,75L VINEA              ;612852    ;FIBIS D.O.O.;        0.75;L  ;        4.92;        6.56;'5310122001553';PIÆA;        0.00;        0.00
PJENUŠAC FREIXENET MIA 0,75L SPARK.     ;612995    ;FREIXENET      ;        0.75;L  ;        8.99;       11.99;'8410384020051';PIÆA;        0.00;        0.00
EPSKO VINO GRAŠEVINA 2L                 ;615428    ;EPSKO VINO     ;        2.00;L  ;        6.59;        3.30;'3858892520215';PIÆA;        0.00;        0.00
EPSKO VINO GRAŠEVINA 3L                 ;615429    ;EPSKO VINO     ;        3.00;L  ;        9.39;        3.13;'3858892520222';PIÆA;        0.00;        0.00
GRAŠEVINA MAKEDONSKA 3L BIB IMAKO       ;615430    ;EPSKO VINO     ;        3.00;L  ;        9.99;        3.33;'5310140009913';PIÆA;        0.00;        0.00
VINO MEDITERANO CUVEE 0,75L BIJELI      ;616625    ;HERCEGOVINAVINO;        0.75;L  ;        3.30;        4.40;'3870025004300';PIÆA;        0.00;        0.00
VINKO VINO CRNO 3L                      ;616983    ;HERCEGOVINAVINO;        3.00;L  ;        4.49;        1.50;'3870025000258';PIÆA;        0.00;        0.00
VINO MERLOT DK 0,75L                    ;617206    ;DK             ;        0.75;L  ;        0.00;        5.32;'4840454004386';PIÆA;        4.99;        3.99
VINO MEDITERANO CUVEE 3L BIB BIJELO     ;619181    ;HERCEGOVINAVINO;        3.00;L  ;        7.69;        2.56;'3870025004317';PIÆA;        0.00;        0.00
VINO GRAŠEVINA 3L VUPIK BIB             ;625181    ;VUPIK          ;        3.00;L  ;        9.49;        3.16;'3858882617437';PIÆA;        0.00;        0.00
VINO VRANAC VINEA 1L KV.                ;627151    ;FIBIS D.O.O.;        1.00;L  ;        4.28;        4.28;'3859892866938';PIÆA;        0.00;        0.00
VINO VENUS 1L                           ;627181    ;FIBIS D.O.O.;        1.00;L  ;        4.28;        4.28;'3859892866884';PIÆA;        0.00;        0.00
VINO SINGERO BIJELI 0,75L DIKA          ;628712    ;FERAVINO       ;        0.75;L  ;        8.29;       11.05;'3859893924309';PIÆA;        0.00;        0.00
VINO EPSKO GRAŠEVINA 1L STAKLO          ;628713    ;EPSKO VINO     ;        1.00;L  ;        4.72;        4.72;'3858892520208';PIÆA;        0.00;        0.00
VINO IMAKO CABERNET SAUVIGNON 0,75L     ;628714    ;EPSKO VINO     ;        0.75;L  ;        5.02;        6.69;'5310140009999';PIÆA;        0.00;        0.00
VINO CABERNET SAUVIGNON 0,75L ORAHOVICA ;628715    ;ORAHOVICA      ;        0.75;L  ;        6.99;        9.32;'3858889832291';PIÆA;        0.00;        0.00
