"NAZIV_PROIZVODA";"ŠIFRA_PROIZVODA";"MARKA_PROIZVODA";"NETO_KOLIÈINA";"JEDINICA_MJERE";"MALOPROD.CIJENA(EUR)";"CIJENA_ZA_JEDINICU_MJERE";"MPC_POSEB.OBLIK_PROD";"POSEB.OBLIK_PROD__ZA_JEDINICU_MJERE";"NAJNIŽA_MPC_U_30DANA";"SIDRENA_CIJENA";"BARKOD";"KATEGORIJA_PROIZVODA"
"KROKETI ZA MAÈKE PIL/PUR/POV 2kg";"010491501";"RADAMES";"2";"KG";"3,45";"1,73";"0";"0";"0";"3,45";"8017596010469";"PROIZVODI ZA KUÆANSTVO"
"KROKETI ZA MLADE MACKE 500g";"018371101";"RADAMES";"0,5";"KG";"1,69";"3,38";"0";"0";"0";"1,69";"8017596136732";"PROIZVODI ZA KUÆANSTVO"
"KROKETI ZA PSE 10kg";"010375301";"RADAMES";"10";"KG";"9,99";"1";"0";"0";"0";"9,99";"8017596052704";"PROIZVODI ZA KUÆANSTVO"
"KROKETI ZA PSE PREMIUM 5kg";"011339801";"RADAMES";"5";"KG";"8,49";"1,7";"0";"0";"0";"7,99";"8017596059390";"PROIZVODI ZA KUÆANSTVO"
"KROKETI ZA PSE PREMIUM 5kg";"011339801";"RADAMES";"5";"KG";"8,49";"1,7";"0";"0";"0";"7,99";"8017596059406";"PROIZVODI ZA KUÆANSTVO"
"KROKETI ZA PSE PREMIUM M 2kg";"009681101";"RADAMES";"2";"KG";"3,65";"1,83";"0";"0";"0";"3,59";"8017596018748";"PROIZVODI ZA KUÆANSTVO"
"KROKETI ZA PSE PREMIUM M 2kg";"009681101";"RADAMES";"2";"KG";"3,65";"1,83";"0";"0";"0";"3,59";"8017596102720";"PROIZVODI ZA KUÆANSTVO"
"KROKETI ZA PSE PREMIUM S 1,5kg";"012793101";"RADAMES";"1,5";"KG";"2,99";"1,99";"0";"0";"0";"2,99";"8017596114037";"PROIZVODI ZA KUÆANSTVO"
"KROKETI ZA PSE PREMIUM S 1,5kg";"012793101";"RADAMES";"1,5";"KG";"2,99";"1,99";"0";"0";"0";"2,99";"8001541003453";"PROIZVODI ZA KUÆANSTVO"
"KROKETI ZA PSE PREMIUM S 1,5kg";"012793101";"RADAMES";"1,5";"KG";"2,99";"1,99";"0";"0";"0";"2,99";"8017596077844";"PROIZVODI ZA KUÆANSTVO"
"KROKETI ZA STERIL.MAC.LOSOS 800g";"018373101";"RADAMES";"0,8";"KG";"2,79";"3,49";"0";"0";"0";"2,79";"8017596136770";"PROIZVODI ZA KUÆANSTVO"
"KRPA BRISA. PODA MICROF.ECO 40x60cm";"017417501";"SISTEMA CASA";"1";"PZ";"1,49";"1,49";"0";"0";"0";"1,49";"8017596123329";"PROIZVODI ZA KUÆANSTVO"
"KRPA ZA BRISANJE PODA CLASSICO";"015678001";"SISTEMA CASA";"1";"PZ";"1,09";"1,09";"0";"0";"0";"1,06";"8017596072252";"PROIZVODI ZA KUÆANSTVO"
