"NAZIV_PROIZVODA";"ŠIFRA_PROIZVODA";"MARKA_PROIZVODA";"NETO_KOLIÈINA";"JEDINICA_MJERE";"MALOPROD.CIJENA(EUR)";"CIJENA_ZA_JEDINICU_MJERE";"MPC_POSEB.OBLIK_PROD";"POSEB.OBLIK_PROD__ZA_JEDINICU_MJERE";"NAJNIŽA_MPC_U_30DANA";"SIDRENA_CIJENA";"BARKOD";"KATEGORIJA_PROIZVODA"
"RAJÈICA CHERRY 500g";"080042901";"NO BRAND";"0,5";"KG";"2,49";"4,98";"0";"0";"0";"2,39";"8715817700143";"HRANA"
"RAJÈICA DVOSTRUKI KONCENTRAT 200g";"008231001";"DELIZIE DAL SOLE";"0,2";"KG";"1,19";"5,95";"0";"0";"0";"1,19";"8004960000034";"HRANA"
"RAJÈICA DVOSTRUKI KONCENTRAT 200g";"008231001";"DELIZIE DAL SOLE";"0,2";"KG";"1,19";"5,95";"0";"0";"0";"1,19";"8017596017208";"HRANA"
"RAJÈICA DVOSTRUKI KONCENTRAT 200g";"008231001";"DELIZIE DAL SOLE";"0,2";"KG";"1,19";"5,95";"0";"0";"0";"1,19";"8004913001002";"HRANA"
"RAJÈICA FINO SJECKANA 2x230g";"015411601";"DELIZIE DAL SOLE";"0,46";"KG";"1,69";"3,67";"0";"0";"0";"1,69";"8017596105776";"HRANA"
"RAJÈICA GRAPPOLO rfz";"080061001";"NO BRAND";"1";"KG";"1,99";"1,99";"0";"0";"0";"2,69";"";"HRANA"
"RAJÈICA PASIRANA 2x350g";"010903401";"DELIZIE DAL SOLE";"0,7";"KG";"2,09";"2,99";"0";"0";"0";"2,09";"8017596058874";"HRANA"
"RAJÈICA PASIRANA 3x200g";"017074601";"DELIZIE DAL SOLE";"0,6";"KG";"1,29";"2,15";"0";"0";"0";"1,29";"8017596122629";"HRANA"
"RAJÈICA PASIRANA 700g";"012111901";"DELIZIE DAL SOLE";"0,7";"KG";"1,49";"2,13";"0";"0";"0";"1,49";"8017596005359";"HRANA"
"RAJÈICA PASIRANA BIO 680g";"014489601";"AMO ESSERE BIO";"0,68";"KG";"1,59";"2,34";"0";"0";"0";"1,59";"8017596079671";"HRANA"
"RAJÈICA PASIRANA TETRAPAK 1kg";"011171001";"DELIZIE DAL SOLE";"1";"KG";"1,29";"1,29";"0";"0";"0";"1,29";"8017596016843";"HRANA"
"RAJÈICA PELAT 400g";"012788401";"DELIZIE DAL SOLE";"0,25";"KG";"0,79";"3,16";"0";"0";"0";"0,79";"8017596005434";"HRANA"
"RAJÈICA PELATI 800g";"012512501";"DELIZIE DAL SOLE";"0,5";"KG";"1,55";"3,1";"0";"0";"0";"1,55";"8017596010247";"HRANA"
"RAJÈICA SJECKANA 400g";"900401501";"DELIZIE DAL SOLE";"0,4";"KG";"0,79";"1,98";"0";"0";"0";"0,79";"8017596010230";"HRANA"
"RAJÈICA SJECKANA 680g";"008200401";"DELIZIE DAL SOLE";"0,68";"KG";"1,49";"2,19";"0,99";"1,46";"1,49";"1,49";"8004913000203";"HRANA"
"RAJÈICA SJECKANA 680g";"008200401";"DELIZIE DAL SOLE";"0,68";"KG";"1,49";"2,19";"0,99";"1,46";"1,49";"1,49";"8017596010223";"HRANA"
"RAJÈICA UMAK ALL'ARRABBIATA 400g";"008023401";"DELIZIE DAL SOLE";"0,4";"KG";"1,79";"4,48";"0";"0";"0";"1,79";"8017596007216";"HRANA"
"RAJÈICA UMAK AMATRICIANA 400g";"015527701";"DELIZIE DAL SOLE";"0,4";"KG";"1,89";"4,73";"0";"0";"0";"1,89";"8017596106056";"HRANA"
"RAJÈICA UMAK BOLOGNESE 400g";"015527601";"DELIZIE DAL SOLE";"0,4";"KG";"1,89";"4,73";"0";"0";"0";"1,89";"8017596106063";"HRANA"
"RAJÈICA UMAK S BOSILJKOM 400g";"008023301";"DELIZIE DAL SOLE";"0,4";"KG";"1,79";"4,48";"0";"0";"0";"1,79";"8017596007209";"HRANA"
"RAJÈICA UMAK S MASLINAMA 400g";"008023501";"DELIZIE DAL SOLE";"0,4";"KG";"1,79";"4,48";"0";"0";"0";"1,79";"8017596007223";"HRANA"
"RAJÈICA UMAK S POVRÆEM 700g";"015356701";"DELIZIE DAL SOLE";"0,7";"KG";"1,49";"2,13";"0";"0";"0";"1,49";"8017596107145";"HRANA"
"RAJÈICA UMAK S TUNOM 400g";"008665801";"DELIZIE DAL SOLE";"0,4";"KG";"1,89";"4,73";"0";"0";"0";"1,89";"8017596011282";"HRANA"
"RAJÈICE SUŠENE U SUN.ULJU 280g/165g";"008831001";"DELIZIE DAL SOLE";"0,28";"KG";"1,79";"6,39";"0";"0";"0";"1,79";"8017596013712";"HRANA"
"RAKIJA OD VILJAMOVKE 40% 700ml";"010377601";"NO BRAND";"0,7";"LT";"12,09";"17,27";"0";"0";"0";"12,09";"8006063004247";"PIÆE"
"RAKIJA OD VILJAMOVKE 40% 700ml";"010377601";"NO BRAND";"0,7";"LT";"12,09";"17,27";"0";"0";"0";"12,09";"8007525151332";"PIÆE"
"RAKIJA TRAVARICA 37,5% 1000ml";"910009901";"NO BRAND";"1";"LT";"9,99";"9,99";"0";"0";"0";"10,02";"3850164243365";"PIÆE"
"RAKIJA ŠLJIVOVICA 40% 1000ml";"910009701";"NO BRAND";"1";"LT";"15,09";"15,09";"0";"0";"0";"15,09";"3850164243389";"PIÆE"
"RATLUK RAHAT LOKUM ROSE 200g";"900465201";"NO BRAND";"0,2";"KG";"1,09";"5,45";"0";"0";"0";"1,09";"5310345005222";"HRANA"
"RAŠPICA ZA STOPALA";"018170101";"LA NUOVA PHARMACIA";"1";"PZ";"1,29";"1,29";"0";"0";"0";"1,19";"8017596056825";"KOZMETIKA"
"RAŠTIKA 500g";"080339101";"NO BRAND";"0,5";"KG";"1,69";"3,38";"0";"0";"0";"1,69";"3859893696391";"HRANA"
"RAŽENI MIJEŠANI KRUH 500g";"013784601";"ALPENSPITZ";"0,5";"KG";"1,29";"2,58";"0";"0";"0";"1,29";"8017596122186";"HRANA"
"RAŽENI MIJEŠANI KRUH 500g";"013784601";"ALPENSPITZ";"0,5";"KG";"1,29";"2,58";"0";"0";"0";"1,29";"8017596074751";"HRANA"
"REBRASTI ÈIPS PAPRIKA 150g";"900467401";"NO BRAND";"0,15";"KG";"1,15";"7,67";"0";"0";"0";"0,99";"3859888532595";"HRANA"
"REBRASTI ÈIPS SLANI 150g";"900467301";"NO BRAND";"0,15";"KG";"1,15";"7,67";"0";"0";"0";"0,99";"3859888532588";"HRANA"
"REBRASTI ÈIPS VRHNJE I LUK 150g";"900467801";"NO BRAND";"0,15";"KG";"1,15";"7,67";"0";"0";"0";"0,99";"3859888532823";"HRANA"
"REPA KISELA 500 g VARAŽDIN";"080467801";"NO BRAND";"0,5";"KG";"1,99";"3,98";"0";"0";"0";"1,99";"3859889634038";"HRANA"
"REPOVI KOZICA TROPSKIH 350g";"003590701";"ONDINA";"0,35";"KG";"6,59";"18,83";"0";"0";"0";"6,63";"7861088500447";"HRANA"
"REPOVI KOZICA TROPSKIH 350g";"003590701";"ONDINA";"0,35";"KG";"6,59";"18,83";"0";"0";"0";"6,63";"5602489003913";"HRANA"
"REPOVI KOZICA TROPSKIH 350g";"003590701";"ONDINA";"0,35";"KG";"6,59";"18,83";"0";"0";"0";"6,63";"8710557016202";"HRANA"
"REPOVI KOZICA TROPSKIH 350g";"003590701";"ONDINA";"0,35";"KG";"6,59";"18,83";"0";"0";"0";"6,63";"8710557026300";"HRANA"
"REPOVI KOZICA TROPSKIH 350g";"003590701";"ONDINA";"0,35";"KG";"6,59";"18,83";"0";"0";"0";"6,63";"5011293630725";"HRANA"
"REPOVI KOZICA TROPSKIH 350g";"003590701";"ONDINA";"0,35";"KG";"6,59";"18,83";"0";"0";"0";"6,63";"5011293740813";"HRANA"
"REPOVI KOZICA TROPSKIH 350g";"003590701";"ONDINA";"0,35";"KG";"6,59";"18,83";"0";"0";"0";"6,63";"5011293740745";"HRANA"
"REPOVI KOZICA TROPSKIH 350g";"003590701";"ONDINA";"0,35";"KG";"6,59";"18,83";"0";"0";"0";"6,63";"8017596040053";"HRANA"
"REPOVI KOZICA TROPSKIH OÈIŠÆEN 240g";"007065601";"ONDINA";"0,24";"KG";"5,29";"22,04";"0";"0";"0";"5,31";"8017596001221";"HRANA"
"REPOVI KOZICA TROPSKIH OÈIŠÆEN 240g";"007065601";"ONDINA";"0,24";"KG";"5,29";"22,04";"0";"0";"0";"5,31";"5410726014499";"HRANA"
"REPOVI KOZICA TROPSKIH OÈIŠÆEN 240g";"007065601";"ONDINA";"0,24";"KG";"5,29";"22,04";"0";"0";"0";"5,31";"8017596040060";"HRANA"
"REZANCI OD PIROVOG BRAŠNA 500g";"900541101";"NO BRAND";"0,5";"KG";"1,69";"3,38";"0";"0";"0";"1,69";"3831001819936";"HRANA"
"REZANCI S JAJIMA PAPPARDELLE 250g";"016778001";"TRE MULINI";"0,25";"KG";"1,19";"4,76";"0";"0";"0";"1,19";"8017596117298";"HRANA"
"REZANCI S JAJIMA TAGLIATELLE 250g";"016778201";"TRE MULINI";"0,25";"KG";"1,19";"4,76";"0";"0";"0";"1,19";"8017596117274";"HRANA"
"REZANCI S JAJIMA TAGLIATELLE 500g";"015863201";"TRE MULINI";"0,5";"KG";"1,59";"3,18";"0";"0";"0";"1,59";"8017596009159";"HRANA"
"REZANCI ŠI. S JAJIMA I ŠPINATOM250g";"016825601";"TRE MULINI";"0,25";"KG";"1,19";"4,76";"0";"0";"0";"1,19";"8017596117281";"HRANA"
"REZANCI ŠIROKI S JAJIMA 500g";"900541901";"NO BRAND";"0,5";"KG";"1,69";"3,38";"0";"0";"0";"1,59";"3831001819943";"HRANA"
"RIB-EYE ODREZAK SUHO ZRENJE S.K.";"910065801";"NO BRAND";"1";"KG";"26,99";"26,99";"0";"0";"0";"22,43";"";"HRANA"
"RIBARSKO PECIVO 75g";"910215401";"NO BRAND";"0,075";"KG";"0,35";"4,67";"0";"0";"0";"0,35";"";"HRANA"
"RIBLJI NAMAZ S BAKALAROM 165 G";"910187801";"ATHENA";"0,165";"KG";"3,39";"20,55";"0";"0";"0";"3,39";"8017596135148";"HRANA"
"RIZA EKSPANDIRANA S VITAMINIMA 1kg";"014085001";"RADAMES";"1";"KG";"3,29";"3,29";"0";"0";"0";"3,19";"8017596010421";"PROIZVODI ZA KUÆANSTVO"
"RIŽA ARBORIO 1kg";"009982701";"DELIZIE DAL SOLE";"1";"KG";"3,49";"3,49";"0";"0";"0";"3,49";"8017596010292";"HRANA"
"RIŽA ARBORIO 2kg";"010325401";"DELIZIE DAL SOLE";"2";"KG";"5,99";"3";"0";"0";"0";"4,99";"8017301020011";"HRANA"
"RIŽA ARBORIO 2kg";"010325401";"DELIZIE DAL SOLE";"2";"KG";"5,99";"3";"0";"0";"0";"4,99";"8017596061416";"HRANA"
"RIŽA BASMATI 1kg";"015612501";"DELIZIE DAL SOLE";"1";"KG";"2,95";"2,95";"0";"0";"0";"2,95";"8017596107749";"HRANA"
"RIŽA BASMATI 2kg";"010612901";"DELIZIE DAL SOLE";"2";"KG";"5,89";"2,95";"0";"0";"0";"5,89";"8032605020338";"HRANA"
"RIŽA BASMATI 2kg";"010612901";"DELIZIE DAL SOLE";"2";"KG";"5,89";"2,95";"0";"0";"0";"5,89";"8017596061423";"HRANA"
"RIŽA BIJELA RIBE 1kg";"011315201";"DELIZIE DAL SOLE";"1";"KG";"2,39";"2,39";"0";"0";"0";"2,39";"8017596052605";"HRANA"
"RIŽA CRNA 2min 250g";"017290501";"DELIZIE DAL SOLE";"0,25";"KG";"1,39";"5,56";"0";"0";"0";"1,39";"8017596121486";"HRANA"
"RIŽA DUGOZRNATA 1kg";"900450301";"NO BRAND";"1";"KG";"1,59";"1,59";"0";"0";"0";"1,59";"8009551200060";"HRANA"
"RIŽA DUGOZRNATA PARBOILED 1kg";"900450201";"NO BRAND";"1";"KG";"2,09";"2,09";"0";"0";"0";"1,99";"8009551200169";"HRANA"
"RIŽA DUGOZRNATA PARBOILED 2kg";"015186701";"DELIZIE DAL SOLE";"2";"KG";"3,99";"2";"0";"0";"0";"3,99";"8017596061447";"HRANA"
"RIŽA INTEGRALNA 2min 250g";"017290401";"DELIZIE DAL SOLE";"0,25";"KG";"1,39";"5,56";"0";"0";"0";"1,39";"8017596078841";"HRANA"
"RIŽA INTEGRALNA PARBOILED 1kg";"013049101";"DELIZIE DAL SOLE";"1";"KG";"2,49";"2,49";"0";"0";"0";"2,49";"8017596070340";"HRANA"
"RIŽA KREKER BIO 150g";"014963601";"AMO ESSERE BIO";"0,15";"KG";"0,99";"6,6";"0";"0";"0";"0,99";"8017596079725";"HRANA"
"RIŽA ORIGINARIO 2kg";"010325301";"DELIZIE DAL SOLE";"2";"KG";"3,99";"2";"0";"0";"0";"3,99";"8017301020035";"HRANA"
"RIŽA ORIGINARIO 2kg";"010325301";"DELIZIE DAL SOLE";"2";"KG";"3,99";"2";"0";"0";"0";"3,99";"8017596061430";"HRANA"
"RIŽA PARBOILED 1kg";"009982601";"DELIZIE DAL SOLE";"1";"KG";"2,49";"2,49";"0";"0";"0";"2,49";"8017596010308";"HRANA"
"RIŽA RIBE BIO 500g";"014546101";"AMO ESSERE BIO";"0,5";"KG";"1,99";"3,98";"0";"0";"0";"1,99";"8017596079855";"HRANA"
"RIŽA ROMA 1kg";"009982501";"DELIZIE DAL SOLE";"1";"KG";"2,89";"2,89";"0";"0";"0";"2,89";"8017596010285";"HRANA"
"RIŽOTO S GLJIVAMA 175g";"011790101";"TRE MULINI";"0,175";"KG";"1,29";"7,37";"0";"0";"0";"1,29";"8017596013514";"HRANA"
"RIŽOTO S PLODOVIMA MORA 175g";"011790102";"TRE MULINI";"0,175";"KG";"1,29";"7,37";"0";"0";"0";"1,29";"8017596017055";"HRANA"
"RIŽOTO SA ŠPAROGAMA 175g";"011790103";"TRE MULINI";"0,175";"KG";"1,29";"7,37";"0";"0";"0";"1,29";"8017596013507";"HRANA"
"ROLADA S KAKAO PRELJEVOM 300g";"009391501";"DOLCIANDO";"0,3";"KG";"1,59";"5,3";"0";"0";"0";"1,59";"8017596018489";"HRANA"
"ROLADA S LJEŠNJAK KREMOM 250g";"004747201";"DOLCIANDO";"0,25";"KG";"1,19";"4,76";"0";"0";"0";"1,19";"8001585006014";"HRANA"
"ROLADA S LJEŠNJAK KREMOM 250g";"004747201";"DOLCIANDO";"0,25";"KG";"1,19";"4,76";"0";"0";"0";"1,19";"8001585002115";"HRANA"
"ROLADA S LJEŠNJAK KREMOM 250g";"004747201";"DOLCIANDO";"0,25";"KG";"1,19";"4,76";"0";"0";"0";"1,19";"8017596054050";"HRANA"
"ROLADA S LJEŠNJAKOM 6 kom 222g";"008526301";"DOLCIANDO";"0,222";"KG";"1,49";"6,71";"0";"0";"0";"1,49";"8017596008749";"HRANA"
"ROLNICE S MAKOM 1kg";"910201401";"DOLCIANDO";"1";"KG";"2,99";"2,99";"0";"0";"0";"2,99";"8017596044815";"HRANA"
"ROLNICE S MARELICOM 1kg";"910201501";"DOLCIANDO";"1";"KG";"2,99";"2,99";"0";"0";"0";"2,99";"8017596044822";"HRANA"
"ROLNICE S VIŠNJAMA 1kg";"910201601";"DOLCIANDO";"1";"KG";"2,99";"2,99";"0";"0";"0";"2,99";"8017596044839";"HRANA"
"ROTKVICA";"014304301";"NO BRAND";"1";"PZ";"0,59";"0,59";"0";"0";"0";"0,59";"8001553802280";"HRANA"
"ROTKVICA";"014304401";"NO BRAND";"1";"PZ";"0,59";"0,59";"0";"0";"0";"0,59";"8001553802297";"HRANA"
"ROTKVICA 125g";"080044502";"NO BRAND";"0,125";"KG";"0,75";"6";"0";"0";"0";"0,75";"9999999999994";"HRANA"
"ROTKVICA 125g";"080044502";"NO BRAND";"0,125";"KG";"0,75";"6";"0";"0";"0";"0,75";"3859890192664";"HRANA"
"ROTKVICA 125g";"080044502";"NO BRAND";"0,125";"KG";"0,75";"6";"0";"0";"0";"0,75";"3859892765446";"HRANA"
"ROTKVICA 125g";"080044502";"NO BRAND";"0,125";"KG";"0,75";"6";"0";"0";"0";"0,75";"8714745502348";"HRANA"
"ROTKVICA NATIONAL 2";"016991501";"NO BRAND";"1";"PZ";"0,59";"0,59";"0";"0";"0";"0,59";"8001553802358";"HRANA"
"ROTKVICA PUŠLEK(KOM)";"080545501";"NO BRAND";"1";"PZ";"0,59";"0,59";"0";"0";"0";"0,69";"";"HRANA"
"ROŠTILI KOBASICA PANCETA LUK 290g";"910138101";"NO BRAND";"0,29";"KG";"3,15";"10,86";"0";"0";"0";"3,15";"3858894291403";"HRANA"
"ROŠTILJ KOBASICA";"070060101";"NO BRAND";"1";"KG";"7,49";"7,49";"0";"0";"0";"6,89";"";"HRANA"
"ROŠTILJ KOBASICA 420g";"910138901";"NO BRAND";"0,42";"KG";"4,39";"10,45";"0";"0";"0";"4,39";"3850139522914";"HRANA"
"ROŠTILJ KOBASICA MIJEŠANA PREMIUM";"070209601";"NO BRAND";"1";"KG";"8,99";"8,99";"0";"0";"0";"8,99";"";"HRANA"
"ROŠTILJ KOBASICA OBITELJSKO PAK.";"070024101";"NO BRAND";"1";"KG";"6,99";"6,99";"0";"0";"0";"6,99";"";"HRANA"
"RUKAVICE LATEKS 100kom S-M/M-L";"016903501";"SISTEMA CASA";"1";"PZ";"5,99";"5,99";"0";"0";"0";"8,63";"8431026080110";"PROIZVODI ZA KUÆANSTVO"
"RUKAVICE LATEKS 100kom S-M/M-L";"016903501";"SISTEMA CASA";"1";"PZ";"5,99";"5,99";"0";"0";"0";"8,63";"8431026017611";"PROIZVODI ZA KUÆANSTVO"
"RUKAVICE LATEKS 100kom S-M/M-L";"016903501";"SISTEMA CASA";"1";"PZ";"5,99";"5,99";"0";"0";"0";"8,63";"8017596121844";"PROIZVODI ZA KUÆANSTVO"
"RUKAVICE LATEKS 100kom S-M/M-L";"016903501";"SISTEMA CASA";"1";"PZ";"5,99";"5,99";"0";"0";"0";"8,63";"8017596111746";"PROIZVODI ZA KUÆANSTVO"
"RUKOLA";"014302301";"NO BRAND";"1";"PZ";"0,59";"0,59";"0";"0";"0";"0,59";"8001553801689";"HRANA"
"RUKOLA";"014302401";"NO BRAND";"1";"PZ";"0,59";"0,59";"0";"0";"0";"0,59";"8001553801696";"HRANA"
"RUKOLA 100g";"080104601";"NO BRAND";"0,1";"KG";"1,09";"10,9";"0";"0";"0";"1,09";"9999999999994";"HRANA"
"RUKOLA 100g";"080104601";"NO BRAND";"0,1";"KG";"1,09";"10,9";"0";"0";"0";"1,09";"8012566022497";"HRANA"
"RUM BIJELI 37.5% 700ml";"014414001";"NO BRAND";"0,7";"LT";"6,49";"9,27";"0";"0";"0";"5,99";"8009710091508";"PIÆE"
"RUM SUPERIOR 40% VOL. 700ml";"014414101";"NO BRAND";"0,7";"LT";"7,99";"11,41";"0";"0";"0";"7,99";"8007525151899";"PIÆE"
"RUM SUPERIOR 40% VOL. 700ml";"014414101";"NO BRAND";"0,7";"LT";"7,99";"11,41";"0";"0";"0";"7,99";"8009710090600";"PIÆE"
"RUMENI MUSKAT 750ml";"900576601";"NO BRAND";"0,75";"LT";"6,49";"8,65";"0";"0";"0";"5,02";"3830078702042";"PIÆE"
"RUÈNA METLA I LOPATICA ECO";"017186101";"AMO ESSERE ECO";"1";"PZ";"1,99";"1,99";"0";"0";"0";"1,99";"8017596121936";"PROIZVODI ZA KUÆANSTVO"
"RUŽ VIŠE VRSTA";"017275201";"FIOR DI MAGNOLIA";"1";"PZ";"3,05";"3,05";"0";"0";"0";"3,05";"8017596060594";"KOZMETIKA"
"RUŽ VIŠE VRSTA";"017275201";"FIOR DI MAGNOLIA";"1";"PZ";"3,05";"3,05";"0";"0";"0";"3,05";"8017596060587";"KOZMETIKA"
"RUŽ VIŠE VRSTA";"017275201";"FIOR DI MAGNOLIA";"1";"PZ";"3,05";"3,05";"0";"0";"0";"3,05";"8017596060570";"KOZMETIKA"
"RUŽ VIŠE VRSTA";"017275201";"FIOR DI MAGNOLIA";"1";"PZ";"3,05";"3,05";"0";"0";"0";"3,05";"8017596060563";"KOZMETIKA"
"RUŽ VIŠE VRSTA";"017275201";"FIOR DI MAGNOLIA";"1";"PZ";"3,05";"3,05";"0";"0";"0";"3,05";"8017596060556";"KOZMETIKA"
"RUŽMARIN 25g";"009309701";"DON JEREZ";"0,025";"KG";"1,09";"43,6";"0";"0";"0";"1,09";"80730965";"HRANA"
"SACCH.A STRAPPO BIO 25+5+5X50 1500p";"014840901";"NO BRAND";"1";"PZ";"57,73";"57,73";"0";"0";"0";"57,73";"";"HRANA"
"SACHER KOCKE 450g S&G";"910008401";"NO BRAND";"0,45";"KG";"4,99";"11,09";"0";"0";"0";"4,99";"3830042310129";"HRANA"
"SACHER KOCKE 450g S&G";"910008401";"NO BRAND";"0,45";"KG";"4,99";"11,09";"0";"0";"0";"4,99";"3830056444704";"HRANA"
"SACHER TORTA S&G 750g";"910212201";"NO BRAND";"0,75";"KG";"8,99";"11,99";"0";"0";"0";"8,99";"3830056445480";"HRANA"
"SAL.MISTICAN. I JEST. CVIJEÆE 200g";"080502701";"NO BRAND";"0,2";"KG";"2,29";"11,45";"0";"0";"0";"2,29";"8012566029861";"HRANA"
"SALAMIN ISTARSKI 220g";"910129701";"PUTOVANJE KROZ OKUSE";"0,22";"KG";"4,29";"19,5";"0";"0";"0";"4,19";"3858894291120";"HRANA"
"SALAMIN ISTARSKI 220g";"910129701";"PUTOVANJE KROZ OKUSE";"0,22";"KG";"4,29";"19,5";"0";"0";"0";"4,19";"8017596138101";"HRANA"
"SALATA";"014303501";"NO BRAND";"1";"PZ";"0,59";"0,59";"0";"0";"0";"0,59";"8001553818366";"HRANA"
"SALATA EISBERG (kom)";"080103401";"NO BRAND";"1";"PZ";"1,29";"1,29";"0";"0";"0";"1,49";"3850334076120";"HRANA"
"SALATA EISBERG (kom)";"080103401";"NO BRAND";"1";"PZ";"1,29";"1,29";"0";"0";"0";"1,49";"3859889267304";"HRANA"
"SALATA EISBERG (kom)";"080103401";"NO BRAND";"1";"PZ";"1,29";"1,29";"0";"0";"0";"1,49";"8437005431850";"HRANA"
"SALATA EISBERG (kom)";"080103401";"NO BRAND";"1";"PZ";"1,29";"1,29";"0";"0";"0";"1,49";"4232300003122";"HRANA"
"SALATA EISBERG (kom)";"080103401";"NO BRAND";"1";"PZ";"1,29";"1,29";"0";"0";"0";"1,49";"8435320600005";"HRANA"
"SALATA EISBERG (kom)";"080103401";"NO BRAND";"1";"PZ";"1,29";"1,29";"0";"0";"0";"1,49";"3859891767960";"HRANA"
"SALATA EISBERG 250g";"080615601";"NO BRAND";"0,25";"KG";"1,59";"6,36";"0";"0";"0";"1,59";"8012566033554";"HRANA"
"SALATA ENDIVIJA SCAROLA";"014302501";"NO BRAND";"1";"PZ";"0,59";"0,59";"0";"0";"0";"0,59";"8001553801702";"HRANA"
"SALATA GRAN MISTA 350g FV";"080337401";"FOGLIA VERDE";"0,35";"KG";"1,99";"5,69";"0";"0";"0";"1,99";"8017596030184";"HRANA"
"SALATA KRISTAL (kom)";"080256701";"NO BRAND";"1";"PZ";"0,65";"0,65";"0";"0";"0";"0,79";"";"HRANA"
"SALATA MIJEŠANA 680g/360g";"900419201";"SUNNY NATURE";"0,68";"KG";"1,59";"2,34";"0";"0";"0";"1,59";"8017596111593";"HRANA"
"SALATA MIJEŠANA 680g/360g";"900419201";"SUNNY NATURE";"0,68";"KG";"1,59";"2,34";"0";"0";"0";"1,59";"5310246001217";"HRANA"
"SALATA OBITELJSKA 400g";"080607601";"NO BRAND";"0,4";"KG";"1,89";"4,73";"0";"0";"0";"1,89";"3858893250371";"HRANA"
"SALATA OD HOBOTNICE 145 g";"016266501";"ONDINA";"0,145";"KG";"4,38";"30,21";"0";"0";"0";"4,38";"8001115117654";"HRANA"
"SALATA OD MORSKIH PLODOVA 150g";"017250901";"NO BRAND";"0,15";"KG";"2,99";"19,93";"0";"0";"0";"2,99";"8005834007906";"HRANA"
"SALATA OD MORSKIH PLODOVA 150g";"017250901";"NO BRAND";"0,15";"KG";"2,99";"19,93";"0";"0";"0";"2,99";"8005834007913";"HRANA"
"SALATA PUTERICA";"014301001";"NO BRAND";"1";"PZ";"0,59";"0,59";"0";"0";"0";"0,59";"8001553801375";"HRANA"
"SALATA PUTERICA";"014301101";"NO BRAND";"1";"PZ";"0,59";"0,59";"0";"0";"0";"0,59";"8001553801382";"HRANA"
"SALATA PUTERICA  BIONDA RICCIOLINA";"014302201";"NO BRAND";"1";"PZ";"0,59";"0,59";"0";"0";"0";"0,59";"8001553801672";"HRANA"
"SALATA PUTERICA (kom)";"080369201";"NO BRAND";"1";"PZ";"0,89";"0,89";"0";"0";"0";"0,99";"";"HRANA"
"SALATA PUTERICA DA TAGLIO FOG.LISCI";"014302101";"NO BRAND";"1";"PZ";"0,59";"0,59";"0";"0";"0";"0,59";"8001553801665";"HRANA"
"SALATA PUTERICA ROMANA";"014301401";"NO BRAND";"1";"PZ";"0,59";"0,59";"0";"0";"0";"0,59";"8001553816119";"HRANA"
"SALATA QUATTRO STAGIONI";"014301201";"NO BRAND";"1";"PZ";"0,59";"0,59";"0";"0";"0";"0,59";"8001553814412";"HRANA"
"SALATA REGINA DEI GHIACCI";"014301301";"NO BRAND";"1";"PZ";"0,59";"0,59";"0";"0";"0";"0,59";"8001553801528";"HRANA"
"SALATNO ULJE 1l";"900055101";"NO BRAND";"1";"LT";"3,49";"3,49";"0";"0";"0";"3,49";"3830020260118";"HRANA"
"SALVETE BIJELE 100%CEL. 2S,100KOM";"017030301";"AMO ESSERE ECO";"1";"PZ";"1,89";"1,89";"0";"0";"0";"1,89";"8017596118103";"TOALETNE POTREPŠTINE"
"SALVETE FAMILY DECOR 1 S,250kom";"016441301";"SOFT DREAM";"1";"PZ";"2,19";"2,19";"0";"0";"0";"2,19";"8017596005618";"TOALETNE POTREPŠTINE"
"SALVETE IMITACIJA TKANINE 2S,60KOM";"018282301";"SOFT DREAM";"1";"PZ";"1,29";"1,29";"0,89";"0,89";"1,29";"1,29";"8017596012661";"TOALETNE POTREPŠTINE"
"SALVETE SPACE 1S, 450KOM";"010727001";"SOFT DREAM";"1";"PZ";"3,29";"3,29";"0";"0";"0";"3,29";"8017596015181";"TOALETNE POTREPŠTINE"
"SALVETE U BOJI 3S, 50KOM";"016823801";"SOFT DREAM";"1";"PZ";"1,59";"1,59";"0";"0";"0";"1,69";"8017596118110";"TOALETNE POTREPŠTINE"
"SALVIETTE BABY 100pz";"018052101";"HELLO BABY";"1";"PZ";"1,49";"1,49";"0";"0";"0";"1,49";"8017596133779";"KOZMETIKA"
"SAMOLJEPLJIVI ELAST. ZAVOJ 6X2,5cm";"016194801";"LA NUOVA PHARMACIA";"1";"PZ";"1,69";"1,69";"0";"0";"0";"1,69";"8017596056696";"KOZMETIKA"
"SAPUN MARSIGLIA VIŠE VRSTA 150g";"013995101";"NEAR YOUR XXX";"0,15";"KG";"0,89";"5,93";"0";"0";"0";"0,89";"8017596050571";"KOZMETIKA"
"SAPUN MARSIGLIA VIŠE VRSTA 150g";"013995101";"NEAR YOUR XXX";"0,15";"KG";"0,89";"5,93";"0";"0";"0";"0,89";"8017596054586";"KOZMETIKA"
"SAPUN MARSIGLIA VIŠE VRSTA 150g";"013995101";"NEAR YOUR XXX";"0,15";"KG";"0,89";"5,93";"0";"0";"0";"0,89";"8017596054593";"KOZMETIKA"
"SAPUN MARSIGLIA VIŠE VRSTA 150g";"013995101";"NEAR YOUR XXX";"0,15";"KG";"0,89";"5,93";"0";"0";"0";"0,89";"8017596054609";"KOZMETIKA"
