NAZIV,ŠIFRA,NETO_KOLIÈINA,JEDINICA_MJERE,MARKA,MALOPRODAJNA_CIJENA,MPC_ZA_VRIJEME_POSEBNOG_OBLIKA_PRODAJE,NAJNIZA_CIJENA_U_POSLJ._30_DANA,CIJENA_ZA_JEDINICU_MJERE,BARKOD,KATEGORIJA_PROIZVODA,Sidrena_cijena_na_02.05.2025
Argeta Junior kokošja pašteta 3x95g,0005751,0.285,3x95g,,3.19,,,11.19,3838471027267,Hrana,"3,49"
Tic Tac SK5,0005761,0.018,18g,,0.79,,,0.79,80052043,Hrana,"0,79"
Tic Tac SK5,0005761,0.018,18g,,0.79,,,0.79,80916666,Hrana,"0,79"
"Napolitanke SK3, UTZ",0005796,0.8,800g,Sondey,2.49,,,3.11,20434366,Hrana,"2,69"
"Jadranska lokarda, cijela, smrz.",0005865,1,1000g,Okusi zavièaja,3.49,,,3.49,20538286,Hrana,"3,49"
Èeš. trajna kobasica Vysoèina,0005879,0.7,700g,Pikok,,4.79,6.69,6.84,20073541,Hrana,"6,69"
Schauma šampon sort.,0005896,0.52,400ml,,3.17,,,7.93,4015100216509,Kozmetika,"3,17"
Schauma šampon sort.,0005896,0.52,400ml,,3.17,,,7.93,4015100216523,Kozmetika,"3,17"
Mladi istarski sir,0005927,0.3,300g,Okusi zavièaja,5.49,,,18.3,20538484,Hrana,"5,29"
"Orbit White žvakaæe gume sort., 14g",0005954,0.014,14g,Mars,0.99,,,0.99,42069942,Hrana,"0,99"
Pag 91 Kuhinjska morska sol sitna,0005970,5,5kg,,1.49,,,0.3,3859888817135,Hrana,"1,59"
"Èokoladne kuglice, 80g",0006062,0.08,80g,Mister Choc,1.29,,,16.13,20476557,Hrana,"0,89"
"Stella Artois Svijetlo pivo 5% 0,5l",0006153,0.5,"0,5l",,1.65,,,3.3,3850131486009,Piæe,"1,65"
"Svj.pil. zadnja èetvrt, cca.650g",0006219,1,ca. 650g,Naša mesnica,2.99,,,2.99,2101810000000,Hrana,"2,99"
Raid Tablete za el. aparat,0006232,0.035,1komad,,5.09,,,0.17,5000204358278,Proizvodi za kuæanstvo,"5,09"
"Jack Daniels Tennessee Whiskey, 40%",0006251,0.7,"0,7l",,24.22,,,34.6,5099873012499,Piæe,"24,22"
"Smirnoff Vodka 37,5%",0006252,0.68,"0,7l",,16.59,,,23.7,5410316671118,Piæe,"16,59"
Ballantine's Ble. Scotch Whisky 40%,0006253,0.663,"0,7l",,16.19,,,23.13,5000299629413,Piæe,"15,52"
Ritter Sport SK17,0006343,0.1,100g,Ritter,2.39,,,23.9,4000417012005,Hrana,"1,79"
Ritter Sport SK17,0006343,0.1,100g,Ritter,2.39,,,23.9,4000417019004,Hrana,"1,79"
Ritter Sport SK17,0006343,0.1,100g,Ritter,2.39,,,23.9,4000417020000,Hrana,"1,79"
Ritter Sport SK17,0006343,0.1,100g,Ritter,2.39,,,23.9,4000417022004,Hrana,"1,79"
Ritter Sport SK17,0006343,0.1,100g,Ritter,2.39,,,23.9,4000417023001,Hrana,"1,79"
